"(""Bit error rate"" OR ""Burst error"" OR ""End-to-end encryption"" OR ""Glossary of computer graphics"")","14216","['end-to-end encryption', 'Bit Error Rate Analysis of Partial Packets in Ad hoc Wireless Networks', 'The Public Key Muddle – How to Manage Transparent End-to-end Encryption in Organizations', 'SDNS Architecture and End-to-end Encryption', 'A Private Walk in the Clouds: Using End-to-End Encryption between Cloud Applications in a Personal Domain', 'Bit Error Rate Analysis for MC-CDMA Systems in Nakagami- Fading Channels', 'bit error rate', 'Mobile multi-layered IPsec', 'An Iterative Soft Bit Error Rate Estimation of Any Digital Communication Systems Using a Nonparametric Probability Density Function', 'Capacity Versus Bit Error Rate Trade-Off in the DVB-S2 Forward Link', 'Accurate Bit Error Rate Calculation for Asynchronous Chaos-Based DS-CDMA over Multipath Channel', 'Bit Error Rate Performance Analysis of a Threshold-Based Generalized Selection Combining Scheme in Nakagami Fading Channels', 'Information Transmission Technologies', 'Bit Error Rates', 'Determining the Bit Error Rate for Redundant Transmission', 'Bit Error Rate (BER) Performance Enhancement for Wireless Communication System Using Modified Turbo Codes', 'Influence of temperature gradient at the reflectors on the bit-error rate in periscope laser communication systems in the presence of platform vibrations', 'Accurate Bit Error Rate Evaluation in Optically Preamplified Direct-Detection', 'Introduction to the RS-232C Protocol and a Bit-Error Rate Tester', 'Bit Error Rate Analysis of Optical Data Links for Computer Communications']","['Computer Science and Communications Dictionary', 'Computer Science and its Applications', 'ISSE 2015', 'Advances in Cryptology — CRYPTO’ 89 Proceedings', 'Trust, Privacy, and Security in Digital Business', 'EURASIP Journal on Advances in Signal Processing', 'Computer Science and Communications Dictionary', 'Wireless Networks', 'EURASIP Journal on Wireless Communications and Networking', 'EURASIP Journal on Wireless Communications and Networking', 'EURASIP Journal on Advances in Signal Processing', 'EURASIP Journal on Wireless Communications and Networking', 'Spacecraft TT&C and Information Transmission Theory and Technologies', 'Error Coding for Engineers', 'Image Processing and Communications Challenges 8', 'Advances in Computer and Computational Sciences', 'Journal of Russian Laser Research', 'Optical Networks and Technologies', 'Communication System Design Using DSP Algorithms', 'Applications of Photonic Technology']","(""Bit error rate"" OR ""Burst error"" OR ""End-to-end encryption"" OR ""Glossary of computer graphics"") AND (title: ""end-to-end encryption"")","1","['end-to-end encryption']","['Computer Science and Communications Dictionary']","True","17:34:13"
"(""Algorithm"" OR ""Distributed computing"" OR ""Fault detection and isolation"" OR ""Fault tolerance"")","1396282","['Symmetric Distributed Computing with Dynamic Load Balancing and Fault Tolerance', 'Fault Tolerance in Distributed Computing', 'Advances in Distributed Computing and Middleware', 'A Neural Based Approach and Probability Density Approximation for Fault Detection and Isolation in Nonlinear Systems', 'Sensor Fault Detection and Isolation in Flight Control Systems Based on Innovation Approach', 'Adaptive fault detection and isolation for a class of robot manipulators with time-varying perturbation', 'A Robust Fault Detection and Isolation Scheme for Robot Manipulators Based on Neural Networks', 'Fault Detection and Isolation of Industrial Processes Using Optimized Fuzzy Models', 'FRASystem: fault tolerant system using agents in distributed computing systems', 'A Survey on Fault Management Techniques in Distributed Computing', 'Spacecraft Fault Detection and Isolation System Design Using Decentralized Analytical Redundancy', 'Non-Analytical Approaches to Model-Based Fault Detection and Isolation', 'A framework for adding real-time distributed software fault detection and isolation to SNMP-based systems management', 'Dynamic algorithm modeling application for comparing distributed computing frameworks', 'Design of Norm Based Fault Detection and Isolation LPV Filters', 'Hundreds of impossibility results for distributed computing', 'Weighted and constrained possibilistic C-means clustering for online fault detection and isolation', 'A Recovery Technique Using Multi-agent in Distributed Computing Systems']","['Languages, Compilers and Run-Time Systems for Scalable Computers', 'Specification and Analytical Evaluation of Heterogeneous Dynamic Quorum-Based Data Replication Schemes', 'Engineering Applications of Neural Networks', 'Fault Diagnosis and Reconfiguration in Flight Control Systems', 'Journal of Mechanical Science and Technology', 'Advanced Intelligent Computing', 'Computational Intelligence in Fault Diagnosis', 'Cluster Computing', 'Proceedings of the International Conference on Frontiers of Intelligent Computing: Theory and Applications', 'Advances in Aerospace Guidance, Navigation and Control', 'Advances in Automatic Control', 'Journal of Network and Systems Management', 'CSI Transactions on ICT', 'Robust Control and Linear Parameter Varying Approaches', 'Distributed Computing', 'Applied Intelligence', 'Coordination Models and Languages']","(""Algorithm"" OR ""Distributed computing"" OR ""Fault detection and isolation"" OR ""Fault tolerance"") AND (title: ""Symmetric Distributed Computing with Dynamic Load Balancing and Fault Tolerance"")","1","['Symmetric Distributed Computing with Dynamic Load Balancing and Fault Tolerance']","['Languages, Compilers and Run-Time Systems for Scalable Computers']","True","17:34:33"
"(""Acoustic model"" OR ""Language model"" OR ""Logic programming"" OR ""N-gram"")","50195","['Machine Translation from Speech', 'Algebraic and Logic Programming', 'Logic Programming', 'Extensions of Logic Programming', 'Inductive Logic Programming', 'On a Hybrid NN/HMM Speech Recognition System with a RNN-Based Language Model', 'Programming Language Implementation and Logic Programming', 'Inductive Logic Programming', 'Programming Language Implementation and Logic Programming', 'Functional and Logic Programming']","['Handbook of Natural Language Processing and Machine Translation', 'Lecture Notes in Computer Science', 'Lecture Notes in Computer Science', 'Lecture Notes in Computer Science', 'Lecture Notes in Computer Science', 'Speech and Computer', 'Lecture Notes in Computer Science', 'Lecture Notes in Computer Science', 'Lecture Notes in Computer Science', 'Lecture Notes in Computer Science']","(""Acoustic model"" OR ""Language model"" OR ""Logic programming"" OR ""N-gram"") AND (title: ""Machine Translation from Speech"")","1","['Machine Translation from Speech']","['Handbook of Natural Language Processing and Machine Translation']","True","17:35:19"
"(""Digital image"" OR ""Digital media"" OR ""Image retrieval"" OR ""Input/output"")","231354","['A multimedia application for watermarking digital images based on a content based image retrieval technique', 'A generic content-based image retrieval framework for mobile devices', 'Digital Image Similarity for Geo-spatial Knowledge Management', 'A Test Collection for the Evaluation of Content-Based Image Retrieval Algorithms—A User and Task-Based Approach', 'Issues in Multimedia Databases: Coding for Content-Based Image Retrieval and Digital Copyright Protection', 'Digital Image Evidence Detection Based on Skin Tone Filtering Technique', 'Android UI Theme Design and Digital Media Concepts', 'Content Based Image Retrieval in Digital Pathology Using Speeded Up Robust Features']","['Multimedia Tools and Applications', 'Multimedia Tools and Applications', 'Advances in Case-Based Reasoning', 'Information Retrieval', 'The Mathematics of Information Coding, Extraction and Distribution', 'Advances in Computing and Communications', 'Pro Android UI', 'Artificial Intelligence Applications and Innovations']","(""Digital image"" OR ""Digital media"" OR ""Image retrieval"" OR ""Input/output"") AND (title: ""A multimedia application for watermarking digital images based on a content based image retrieval technique"")","1","['A multimedia application for watermarking digital images based on a content based image retrieval technique']","['Multimedia Tools and Applications']","True","17:35:34"
"(""Anthropometry"" OR ""Motion estimation"")","18464","['Anthropometry', 'On the improvement of anthropometry and pose estimation from a single uncalibrated image', 'Anthropometry', 'Erratum to: The effect of age on positional differences in anthropometry, body composition, physique and anaerobic power of elite basketball players', 'Knee Anthropometry and Total Knee Arthroplasty: Relationship Between Anthropometry, Surgical Difficulty, and Outcomes', 'Facial Motion Estimation', 'Anthropometry in Special and Selective Conditions and Circumstances: Anthropometry as Measure of Risk in COPD Patients', 'Adipokines and Anthropometry: Childhood and Adolescent Obesity or Adipocytokines and Anthropometry in Childhood and Adolescence', 'Penile anthropometry in adolescents and adults systemic lupus erythematosus', 'An evaluation of infant growth: The use and interpretation of anthropometry', 'An evaluation of infant growth: The use and interpretation of anthropometry', 'Motion Estimation', 'Improved Motion Estimation Using Early Zero-Block Detection', 'Erratum to: A fast VLSI architecture of a hierarchical block matching algorithm for motion estimation']","['Encyclopedia of Cryptography and Security', 'Machine Vision and Applications', 'Encyclopedia of Biometrics', 'Sport Sciences for Health', 'Handbook of Anthropometry', 'Encyclopedia of Biometrics', 'Handbook of Anthropometry', 'Handbook of Anthropometry', 'Pediatric Rheumatology', 'The Indian Journal of Pediatrics', 'The Indian Journal of Pediatrics', 'Encyclopedia of Biometrics', 'EURASIP Journal on Image and Video Processing', 'Journal of Real-Time Image Processing']","(""Anthropometry"" OR ""Motion estimation"") AND (title: ""Anthropometry"")","3","['Anthropometry', 'Anthropometry', 'Anthropometry']","['Encyclopedia of Cryptography and Security', 'Encyclopedia of Biometrics', 'Nutritional Epidemiology of Breast Cancer']","True","17:35:57"
"(""Aerial photography"" OR ""Algorithm"" OR ""Attribute-value system"" OR ""Computer performance"")","1387742","['Computer Performance Evaluation Modelling Techniques and Tools', 'Computer Performance Evaluation', 'Computer Performance Evaluation.Modelling Techniques and Tools', 'Computer Performance Evaluation: Modelling Techniques and Tools', 'Computer Performance Evaluation Modelling Techniques and Tools', 'Computer Performance Evaluation and Benchmarking', 'Computer Performance Evaluation. Modelling Techniques and Tools', 'Computer Performance Engineering', 'Computer Performance Engineering', 'Computer Performance Engineering', 'Computer Performance Engineering', 'Computer Performance Engineering', 'Computer Performance Engineering', 'Computer Performance Engineering', 'Computer Performance Engineering', 'Computer Performance Engineering', 'Computer Performance Engineering']","['Lecture Notes in Computer Science', 'Lecture Notes in Computer Science', 'Lecture Notes in Computer Science', 'Lecture Notes in Computer Science', 'Lecture Notes in Computer Science', 'Lecture Notes in Computer Science', 'Lecture Notes in Computer Science', 'Lecture Notes in Computer Science', 'Lecture Notes in Computer Science', 'Lecture Notes in Computer Science', 'Lecture Notes in Computer Science', 'Lecture Notes in Computer Science', 'Lecture Notes in Computer Science', 'Lecture Notes in Computer Science', 'Lecture Notes in Computer Science', 'Lecture Notes in Computer Science', 'Lecture Notes in Computer Science']","(""Aerial photography"" OR ""Algorithm"" OR ""Attribute-value system"" OR ""Computer performance"") AND (title: ""Computer Performance Evaluation Modelling Techniques and Tools"")","5","['Computer Performance Evaluation Modelling Techniques and Tools', 'Computer Performance Evaluation Modelling Techniques and Tools', 'Computer Performance Evaluation.Modelling Techniques and Tools', 'Computer Performance Evaluation: Modelling Techniques and Tools', 'Computer Performance Evaluation. Modelling Techniques and Tools']","['Lecture Notes in Computer Science', 'Lecture Notes in Computer Science', 'Lecture Notes in Computer Science', 'Lecture Notes in Computer Science', 'Lecture Notes in Computer Science']","True","17:36:14"
"(""Existential quantification"" OR ""Hybrid system"" OR ""Kernel "" OR ""Limit cycle"")","364817","['Limit cycle bifurcations in impacting systems', 'Stability of hybrid systems', 'Switched and PieceWise Nonlinear Hybrid System Identification', 'Modeling the Electrical Activity of a Neuron by a Continuous and Piecewise Affine Hybrid System', 'Existential Sentences without Existential Quantification', 'Switching-induced stable limit cycles', 'On forced oscillations of a simple model for a novel wave energy converter', 'A chaos embedded GSA-SVM hybrid system for classification', 'Networks of Limit Cycle Oscillators with Parametric Learning Capability', 'Amplitude death in an array of limit-cycle oscillators', 'Simple Saturated Sets for Disjunction and Second-Order Existential Quantification', 'Existential Quantification as Incremental SAT', 'Rules of Existential Quantification into ""Intensional Contexts""', 'Augmenting branching temporal logics with existential quantification over atomic propositions', 'Existential Quantification for Variant Ownership', 'On the complexity of the instance checking problem in concept languages with existential quantification', 'Kappa-Join: Efficient Execution of Existential Quantification in XML Query Languages', 'On the complexity of the instance checking problem in concept languages with existential quantification', 'Qualitative theory of non-smooth dynamical systems', 'Amplitude Death, Synchrony, and Chimera States in Delay Coupled Limit Cycle Oscillators']","['Piecewise-smooth Dynamical Systems', 'Hybrid Systems III', 'Hybrid Systems: Computation and Control', 'Hybrid Systems: Computation and Control', 'Linguistics and Philosophy', 'Nonlinear Dynamics', 'Nonlinear Dynamics', 'Neural Computing and Applications', 'Recent Advances in Nonlinear Dynamics and Synchronization', 'Journal of Statistical Physics', 'Typed Lambda Calculi and Applications', 'Computer Aided Verification', 'Studia Logica', 'Computer Aided Verification', 'Programming Languages and Systems', 'Methodologies for Intelligent Systems', 'Database and XML Technologies', 'Journal of Intelligent Information Systems', 'Piecewise-smooth Dynamical Systems', 'Complex Time-Delay Systems']","(""Existential quantification"" OR ""Hybrid system"" OR ""Kernel "" OR ""Limit cycle"") AND (title: ""Limit cycle bifurcations in impacting systems"")","1","['Limit cycle bifurcations in impacting systems']","['Piecewise-smooth Dynamical Systems']","True","17:36:39"
"(""Dynamic data"" OR ""Replication"")","350725","['Analytical Evaluation of Heterogeneous Dynamic Data Replication Schemes', 'Dynamic Data Replication Across Geo-Distributed Cloud Data Centres', 'A General Approach to Analyzing Quorum-Based Heterogeneous Dynamic Data Replication Schemes', 'A Threshold-based Dynamic Data Replication and Parallel Job Scheduling strategy to enhance Data Grid', 'A threshold-based dynamic data replication strategy', 'A dynamic data replication strategy using access-weights in data grids', 'Dynamic Data Replication Strategy Based on Federation Data Grid Systems', 'Job scheduling and dynamic data replication in data grid environment', 'Dynamic Data Replication Using Aperiodic Updates in Mobile Adhoc Networks', 'Job Scheduling for Dynamic Data Replication Strategy based on Federation Data Grid Systems', 'Modeling a Dynamic Data Replication Strategy to Increase System Availability in Cloud Computing Environments', 'Dynamic Data Grid Replication Strategy Based on Internet Hierarchy', 'Lifetime-Based Dynamic Data Replication in P2P systems', 'Dynamic Data Reallocation for Skew Management in Shared-Nothing Parallel Databases', 'Effective Location Based Services with Dynamic Data Management in Mobile Environments', 'Study of Scheduling Strategies in a Dynamic Data Grid Environment', 'Multi-set DHT for Range Queries on Dynamic Data for Grid Information Service']","['Specification and Analytical Evaluation of Heterogeneous Dynamic Quorum-Based Data Replication Schemes', 'Distributed Computing and Internet Technology', 'Distributed Computing and Networking', 'Cluster Computing', 'The Journal of Supercomputing', 'The Journal of Supercomputing', 'Information Computing and Applications', 'The Journal of Supercomputing', 'Database Systems for Advanced Applications', 'Advances in Wireless, Mobile Networks and Applications', 'Journal of Computer Science and Technology', 'Grid and Cooperative Computing', 'Data Management in Grid and Peer-to-Peer Systems', 'Distributed and Parallel Databases', 'Wireless Networks', 'Distributed Computing - IWDC 2004', 'Data Management in Grid and Peer-to-Peer Systems']","(""Dynamic data"" OR ""Replication"") AND (title: ""Analytical Evaluation of Heterogeneous Dynamic Data Replication Schemes"")","1","['Analytical Evaluation of Heterogeneous Dynamic Data Replication Schemes']","['Specification and Analytical Evaluation of Heterogeneous Dynamic Quorum-Based Data Replication Schemes']","True","17:36:55"
"(""Computation"" OR ""Model of computation"")","1006129","['A Critique of the PRAM Model of Computation', 'I/O Model of Computation', 'I/O Model of Computation', 'Geometric Software: Robustness Issues and Model of Computation', 'Reaction Systems: A Model of Computation Inspired by Biochemistry', 'A parallel sorting algorithm for a novel model of computation', 'Programmed Mutagenesis Is a Universal Model of Computation', 'From domino tilings to a new model of computation', 'The ConcurrenC Model of Computation', 'An Associative Model of Computation', 'Lower bounds on the computational power of an optical model of computation', 'Modeling Stream-Based Applications Using the SBF Model of Computation', 'Dataflow Model of Computation', 'On the model of computation of place/transition Petri nets', 'Actors as a coordinating model of computation (extended abstract)', 'A constant-space sequential model of computation for first-order logic', 'The uniform memory hierarchy model of computation', 'A Logical Model of Computation', 'The Micromapping Model of Computation; The Foundation for Optimized Execution of Eclipse QVTc/QVTr/UMLX', 'Lower Bounds on the Computational Power of an Optical Model of Computation']","['Opportunities and Constraints of Parallel Computing', 'Encyclopedia of Database Systems', 'Encyclopedia of Database Systems', 'New Computational Paradigms', 'Developments in Language Theory', 'International Journal of Parallel Programming', 'DNA Computing', 'Computation Theory', 'Out-of-order Parallel Discrete Event Simulation for Electronic System-level Design', 'Associative Computing', 'Natural Computing', 'Journal of VLSI signal processing systems for signal, image and video technology', 'Physical Layer Multi-Core Prototyping', 'Application and Theory of Petri Nets 1994', 'Perspectives of System Informatics', 'Logic and Computational Complexity', 'Algorithmica', 'Computational Psycholinguistics', 'Theory and Practice of Model Transformation', 'Unconventional Computation']","(""Computation"" OR ""Model of computation"") AND (title: ""A Critique of the PRAM Model of Computation"")","1","['A Critique of the PRAM Model of Computation']","['Opportunities and Constraints of Parallel Computing']","True","17:37:10"
"(""Electromyography"" OR ""Mean squared error"" OR ""Response time "" OR ""Sensor"")","671593","['Exact mean and mean squared error of the smoothed bootstrap mean integrated squared error estimator', 'Mean-Squared Error', 'Mean Squared Error', 'Mean Squared Error', 'Parametrization Invariance with Respect to Second Order Admissibility Under Mean Squared Error', 'Mean Squared Error vs. Frame Potential for Unsupervised Variable Selection', 'Mean Squared Error', 'Operational Variants of the Minimum Mean Squared Error Estimator in Linear Regression Models with Non-Spherical Disturbances', 'Foveated mean squared error—a novel video quality metric', 'Mean-squared error of kernel estimators for finite values of the sample size', 'Mean squared error efficient estimators of the variance components', 'Inequalities for mean squared error of multidimensional kernel density estimations', 'Bias and mean squared error of the slope estimator in a regression with not necessarily normal errors in both variables', 'Mean-Squared Error Criterion', 'On the use of the mean squared error as a proficiency index', 'Criterion Of Total Mean Squared Error', 'Asymptotic Mean Squared Error of Shrinkage Estimators', 'Minimum mean squared error (MSE) adjustment and the optimal Tykhonov–Phillips regularization parameter via reproducing best invariant quadratic uniformly unbiased estimates (repro-BIQUUE)', 'Mean Squared Error Minimization for Inverse Moment Problems', 'Robust Mean-Squared Error Estimation of Multiple Signals in Linear Systems Affected by Model and Noise Uncertainties']","['Computational Statistics', 'Encyclopedia of Quality of Life and Well-Being Research', 'Encyclopedia of Machine Learning', 'Encyclopedia of Machine Learning and Data Mining', 'Annals of the Institute of Statistical Mathematics', 'Intelligent Computing, Networked Control, and Their Engineering Applications', 'The Concise Encyclopedia of Statistics', 'Annals of the Institute of Statistical Mathematics', 'Multimedia Tools and Applications', 'Journal of Mathematical Sciences', 'Metrika', 'Moscow University Computational Mathematics and Cybernetics', 'Statistical Papers', 'Noise Reduction in Speech Processing', 'Accreditation and Quality Assurance', 'The Concise Encyclopedia of Statistics', 'Contributions to Probability and Statistics', 'Journal of Geodesy', 'Applied Mathematics & Optimization', 'Mathematical Programming']","(""Electromyography"" OR ""Mean squared error"" OR ""Response time "" OR ""Sensor"") AND (title: ""Exact mean and mean squared error of the smoothed bootstrap mean integrated squared error estimator"")","1","['Exact mean and mean squared error of the smoothed bootstrap mean integrated squared error estimator']","['Computational Statistics']","True","17:37:27"
